sample,organism,condition,replicate,sample_type,kit,raw_data_dir
135,human,recurrent,1,total_RNA,PCS111,
171,human,recurrent,1,total_RNA,PCS111,
243,human,recurrent,1,total_RNA,PCS111,
254,human,recurrent,1,total_RNA,PCS111,
260,human,recurrent,1,total_RNA,PCS111,
273,human,nonrecurrent,1,total_RNA,PCS111,
314,human,nonrecurrent,1,total_RNA,PCS111,
318,human,nonrecurrent,1,total_RNA,PCS111,
320,human,nonrecurrent,1,total_RNA,PCS111,
329,human,recurrent,1,total_RNA,PCS111,
382,human,nonrecurrent,1,total_RNA,PCS111,
395,human,nonrecurrent,1,total_RNA,PCS111,
